HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,134,104,120,358,positive
CN.BJ,119,158,191,468,negative
CN.CQ,150,117,289,556,negative
CN.FJ,85,87,183,355,negative
CN.GS,23,18,17,58,positive
CN.GD,1170,904,1549,3623,negative
CN.GX,145,189,176,510,neutral
CN.GZ,134,71,62,267,positive
CN.HA,65,53,65,183,negative
CN.HB,101,61,146,308,negative
CN.HL,15,21,20,56,neutral
CN.HE,481,297,357,1135,positive
CN.HU,151,121,225,497,negative
CN.HN,198,136,228,562,negative
CN.JS,239,221,408,868,negative
CN.JX,96,82,95,273,positive
CN.JL,21,23,21,65,neutral
CN.LN,70,40,72,182,negative
CN.NM,18,18,12,48,positive
CN.NX,1,9,7,17,neutral
CN.QH,7,2,3,12,positive
CN.SA,149,110,249,508,negative
CN.SD,241,133,271,645,negative
CN.SH,103,90,198,391,negative
CN.SX,47,32,63,142,negative
CN.SC,447,315,658,1420,negative
CN.TJ,26,31,72,129,negative
CN.XJ,26,15,17,58,positive
CN.XZ,11,3,3,17,positive
CN.YN,111,76,114,301,negative
CN.ZJ,357,310,602,1269,negative
