HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,1,2,3,6,negative
Belgium,14,29,35,78,negative
Bulgaria,0,0,0,0,no_data
Switzerlan,1,7,4,12,neutral
Cyprus,0,0,0,0,no_data
Czechia,9,7,1,17,positive
Germany,8,35,13,56,neutral
Denmark,3,14,4,21,neutral
Spain,1,17,8,26,neutral
Estonia,0,0,0,0,no_data
Finland,5,9,5,19,neutral
France,10,17,8,35,neutral
United Kin,241,382,363,986,neutral
Greece,0,0,0,0,no_data
Croatia,1,6,4,11,neutral
Hungary,0,0,0,0,no_data
Ireland,1,4,0,5,neutral
Iceland,0,3,1,4,neutral
Italy,2,10,6,18,neutral
Liechtenst,0,0,0,0,no_data
Lithuania,0,0,0,0,no_data
Luxembourg,1,4,2,7,neutral
Latvia,0,0,0,0,no_data
Malta,0,0,0,0,no_data
Netherland,3,25,11,39,neutral
Norway,9,12,12,33,negative
Poland,0,1,0,1,neutral
Portugal,1,3,1,5,neutral
Romania,0,0,0,0,no_data
Slovakia,0,2,0,2,neutral
Slovenia,2,1,5,8,negative
Sweden,2,9,8,19,neutral
