HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,137,259,150,546,neutral
Belgium,45,110,82,237,neutral
Bulgaria,577,649,471,1697,neutral
Switzerlan,57,61,57,175,neutral
Cyprus,35,47,56,138,negative
Czechia,257,510,380,1147,neutral
Germany,366,712,621,1699,neutral
Denmark,76,185,104,365,neutral
Spain,115,171,190,476,negative
Estonia,100,158,68,326,neutral
Finland,418,544,448,1410,neutral
France,137,193,139,469,neutral
United Kin,1832,2052,1990,5874,neutral
Greece,1127,1382,973,3482,neutral
Croatia,520,675,813,2008,negative
Hungary,643,1187,1175,3005,neutral
Ireland,805,1224,858,2887,neutral
Iceland,60,119,67,246,neutral
Italy,202,698,260,1160,neutral
Liechtenst,0,0,0,0,no_data
Lithuania,451,828,944,2223,negative
Luxembourg,3,6,7,16,negative
Latvia,104,205,145,454,neutral
Malta,0,0,1,1,negative
Netherland,38,96,87,221,neutral
Norway,83,188,117,388,neutral
Poland,1780,4675,4145,10600,neutral
Portugal,23,62,56,141,neutral
Romania,767,2281,1792,4840,neutral
Slovakia,99,192,182,473,neutral
Slovenia,165,241,259,665,negative
Sweden,185,373,211,769,neutral
