HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,485,439,269,1193,positive
US.AK,198,102,88,388,positive
US.AZ,913,936,881,2730,neutral
US.AR,311,243,161,715,positive
US.CA,7009,7310,10026,24345,negative
US.CO,1657,1272,1304,4233,positive
US.CT,692,679,713,2084,negative
US.DE,195,198,238,631,negative
US.DC,99,136,161,396,negative
US.FL,2160,2090,2569,6819,negative
US.GA,1519,1466,1389,4374,positive
US.HI,270,312,557,1139,negative
US.ID,337,192,257,786,positive
US.IL,1188,1478,1165,3831,neutral
US.IN,879,739,538,2156,positive
US.IA,503,390,324,1217,positive
US.KS,354,308,310,972,positive
US.KY,432,393,217,1042,positive
US.LA,281,233,217,731,positive
US.ME,535,389,295,1219,positive
US.MD,1280,1184,1513,3977,negative
US.MA,1128,1312,1304,3744,neutral
US.MI,1504,1290,1096,3890,positive
US.MN,1417,1240,1144,3801,positive
US.MS,208,169,141,518,positive
US.MO,694,534,431,1659,positive
US.MT,308,210,137,655,positive
US.NE,315,209,175,699,positive
US.NV,522,515,638,1675,negative
US.NH,338,334,246,918,positive
US.NJ,872,896,900,2668,negative
US.NM,456,369,263,1088,positive
US.NY,2321,2104,2205,6630,positive
US.NC,1941,1514,1393,4848,positive
US.ND,205,118,89,412,positive
US.OH,1692,1257,1046,3995,positive
US.OK,685,504,556,1745,positive
US.OR,1348,1080,1080,3508,positive
US.PA,1480,1427,1195,4102,positive
US.RI,175,177,146,498,neutral
US.SC,795,651,527,1973,positive
US.SD,223,137,75,435,positive
US.TN,931,759,620,2310,positive
US.TX,2440,2215,2533,7188,negative
US.UT,804,670,691,2165,positive
US.VT,438,328,299,1065,positive
US.VA,1295,1160,1073,3528,positive
US.WA,2063,1864,2040,5967,positive
US.WV,243,220,116,579,positive
US.WI,1151,884,562,2597,positive
US.WY,151,133,68,352,positive
