HASC_1,topic_21,topic_22,topic_23,topic_24,topic_18,topic_20,topic_19,topic_17,topic_16,topic_15
CN.AH,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,,
CN.BJ,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience
CN.CQ,Location and Availability,Location and Availability,Environment and Service Experience,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,
CN.FJ,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Environment and Service Experience,Location and Availability,Location and Availability,
CN.GS,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,Location and Availability,Environment and Service Experience,,,
CN.GD,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,
CN.GX,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,,Charging Functionality and Reliability
CN.GZ,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Charging Performance,Location and Availability,Environment and Service Experience,Location and Availability,Environment and Service Experience,
CN.HA,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,,
CN.HB,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,
CN.HL,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,Location and Availability,Environment and Service Experience,,,
CN.HE,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,Location and Availability,
HK,,,,,,,,,,
CN.HU,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,,
CN.HN,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,
CN.JS,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience
CN.JX,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Charging Functionality and Reliability,Environment and Service Experience,Environment and Service Experience,,,
CN.JL,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,Charging Performance,Charging Performance,,Environment and Service Experience,
CN.LN,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Environment and Service Experience,Environment and Service Experience,Pricing and Payment,
MO,,,,,,,,,,
CN.NM,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,Location and Availability,Location and Availability,,,
CN.NX,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,,
CN.QH,Location and Availability,Charging Performance,Location and Availability,Location and Availability,,Location and Availability,Environment and Service Experience,,,
CN.SA,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Environment and Service Experience,Location and Availability,Pricing and Payment,
CN.SD,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience
CN.SH,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,Location and Availability,
CN.SX,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Pricing and Payment,Location and Availability,Environment and Service Experience,Environment and Service Experience,,
CN.SC,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,
CN.TJ,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Pricing and Payment,Location and Availability,Location and Availability,
CN.XJ,Location and Availability,Location and Availability,Location and Availability,Location and Availability,,Location and Availability,Environment and Service Experience,,,
CN.XZ,Location and Availability,Charging Performance,Location and Availability,Location and Availability,,Location and Availability,,,,
CN.YN,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,
CN.ZJ,Location and Availability,Location and Availability,Location and Availability,Location and Availability,Environment and Service Experience,Location and Availability,Location and Availability,Location and Availability,Pricing and Payment,Location and Availability
