HASC_1,topic_21,topic_22,topic_23,topic_24,topic_18,topic_20,topic_19,topic_17,topic_16,topic_15
Austria,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Pricing and Payment,Pricing and Payment,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Charging Functionality and Reliability
Belgium,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Functionality and Reliability,Charging Functionality and Reliability
Bulgaria,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Environment and Service Experience,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Performance,
Switzerlan,Pricing and Payment,Charging Functionality and Reliability,Charging Functionality and Reliability,Pricing and Payment,Charging Performance,Charging Functionality and Reliability,Charging Performance,Location and Availability,Charging Performance,Charging Performance
Cyprus,Location and Availability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Pricing and Payment,Charging Functionality and Reliability,,
Czechia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance
Germany,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
Denmark,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Location and Availability,Location and Availability
Spain,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Location and Availability,Charging Functionality and Reliability,Charging Functionality and Reliability
Estonia,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Performance,Charging Performance,Charging Performance,
Finland,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability,Charging Functionality and Reliability
