GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,region,gini
USA.1_1,USA,United States,Alabama,AL|Ala.,NA,State,State,NA,US.AL,US-AL,US.AL,0.996046934709993
USA.2_1,USA,United States,Alaska,AK|Alaska,NA,State,State,NA,US.AK,US-AK,US.AK,0.996654357422482
USA.3_1,USA,United States,Arizona,AZ|Ariz.,NA,State,State,NA,US.AZ,US-AZ,US.AZ,0.991561506191889
USA.4_1,USA,United States,Arkansas,AR|Ark.,NA,State,State,NA,US.AR,US-AR,US.AR,0.994771313667297
USA.5_1,USA,United States,California,CA|Calif.,NA,State,State,NA,US.CA,US-CA,US.CA,0.979776401558837
USA.6_1,USA,United States,Colorado,CO|Colo.,NA,State,State,NA,US.CO,US-CO,US.CO,0.984241031974122
USA.7_1,USA,United States,Connecticut,CT|Conn.,NA,State,State,NA,US.CT,US-CT,US.CT,0.983470026523836
USA.8_1,USA,United States,Delaware,DE|Del.,NA,State,State,NA,US.DE,US-DE,US.DE,0.988125291135576
USA.9_1,USA,United States,District of Columbia,DC|D.C.,NA,Federal District,Federal District,NA,US.DC,US-DC,US.DC,0.952423878880434
USA.10_1,USA,United States,Florida,FL|Fla.,NA,State,State,NA,US.FL,US-FL,US.FL,0.990493123243886
USA.11_1,USA,United States,Georgia,GA|Ga.,NA,State,State,NA,US.GA,US-GA,US.GA,0.991646633134874
USA.12_1,USA,United States,Hawaii,HI|Hawaii,NA,State,State,NA,US.HI,US-HI,US.HI,0.990265258522921
USA.13_1,USA,United States,Idaho,ID|Idaho,NA,State,State,NA,US.ID,US-ID,US.ID,0.99376519776807
USA.14_1,USA,United States,Illinois,IL|Ill.,NA,State,State,NA,US.IL,US-IL,US.IL,0.990149510354133
USA.15_1,USA,United States,Indiana,IN|Ind.,NA,State,State,NA,US.IN,US-IN,US.IN,0.992643364014164
USA.16_1,USA,United States,Iowa,IA|Iowa,NA,State,State,NA,US.IA,US-IA,US.IA,0.989121109098937
USA.17_1,USA,United States,Kansas,KS|Kans.,NA,State,State,NA,US.KS,US-KS,US.KS,0.992002569279581
USA.18_1,USA,United States,Kentucky,Commonwealth of Kentucky|KY,NA,State,State,NA,US.KY,US-KY,US.KY,0.995278657540767
USA.19_1,USA,United States,Louisiana,LA,NA,State,State,NA,US.LA,US-LA,US.LA,0.995196787395863
USA.20_1,USA,United States,Maine,ME|Maine,NA,State,State,NA,US.ME,US-ME,US.ME,0.988228571552762
USA.21_1,USA,United States,Maryland,MD,NA,State,State,NA,US.MD,US-MD,US.MD,0.980786723503168
USA.22_1,USA,United States,Massachusetts,Commonwealth of Massachusetts|MA,NA,State,State,NA,US.MA,US-MA,US.MA,0.978242987406988
USA.23_1,USA,United States,Michigan,MI|Mich.,NA,State,State,NA,US.MI,US-MI,US.MI,0.991950736920483
USA.24_1,USA,United States,Minnesota,MN|Minn.,NA,State,State,NA,US.MN,US-MN,US.MN,0.988591015642229
USA.25_1,USA,United States,Mississippi,MS|Miss.,NA,State,State,NA,US.MS,US-MS,US.MS,0.997425755368003
USA.26_1,USA,United States,Missouri,MO,NA,State,State,NA,US.MO,US-MO,US.MO,0.992402439692925
USA.27_1,USA,United States,Montana,MT|Mont.,NA,State,State,NA,US.MT,US-MT,US.MT,0.989923948591406
USA.28_1,USA,United States,Nebraska,NE|Nebr.,NA,State,State,NA,US.NE,US-NE,US.NE,0.991010640747845
USA.29_1,USA,United States,Nevada,NV|Nev.,NA,State,State,NA,US.NV,US-NV,US.NV,0.990719651092183
USA.30_1,USA,United States,New Hampshire,NH|N.H.,NA,State,State,NA,US.NH,US-NH,US.NH,0.994553146844215
