HASC_1,gini_ratio
CN.AH,1.0594756331407251
CN.BJ,1.2731113348667706
CN.CQ,1.0784274400670282
CN.FJ,1.1086048278414837
CN.GS,1.0358385529001672
CN.GD,1.1920829172312897
CN.GX,1.071497209474731
CN.GZ,1.0489540351338524
CN.HA,1.147861015979792
CN.HB,1.050045547839554
CN.HL,1.0267570270260706
CN.HE,1.05858841050542
CN.HU,1.0845389019076008
CN.HN,1.0489513323542392
CN.JS,1.1370287977092626
CN.JX,1.0607472652918826
CN.JL,1.034061189850762
CN.LN,1.0549268757333237
CN.NM,1.0495847249231816
CN.NX,1.100203760592463
CN.QH,1.0284515677960693
CN.SA,1.0688446827426972
CN.SD,1.0814137407282134
CN.SH,1.3339113185859923
CN.SX,1.0703824190687146
CN.SC,1.062279745273372
CN.TJ,1.117344989829753
CN.XJ,1.0571747772011315
CN.XZ,1.010375900287916
CN.YN,1.0508823655280133
CN.ZJ,1.1568473028888766
