HASC_1,gini_ratio
Austria,1.1323886487232613
Belgium,1.199225369266303
Bulgaria,1.0434135707064192
Switzerlan,1.1777300355354043
Cyprus,1.1004113970932206
Czechia,1.0750012247483014
Germany,1.161906401684162
Denmark,1.2141366404858631
Spain,1.0731307045791232
Estonia,1.096572564669754
Finland,1.044831875227777
France,1.040876701487209
United Kin,1.1117434217111721
Greece,1.1053993366157826
Croatia,1.04214509654572
Hungary,1.106757352437032
Ireland,1.064851266018745
Iceland,1.1123183604986049
Italy,1.1097832337218243
Liechtenst,1.1041436773850009
Lithuania,1.0474701166409608
Luxembourg,1.214853206166782
Latvia,1.0517776352301909
Malta,
Netherland,1.4246492323132967
Norway,1.0400963546111526
Poland,1.067199708509036
Portugal,1.1002116317798485
Romania,1.0382669753317666
Slovakia,1.066486230989742
Slovenia,1.1018332908904476
Sweden,1.083471002617009
