HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,7,65,7,79,neutral
Belgium,27,59,54,140,neutral
Bulgaria,1,7,0,8,neutral
Switzerlan,9,58,14,81,neutral
Cyprus,0,0,0,0,no_data
Czechia,12,18,5,35,neutral
Germany,31,63,43,137,neutral
Denmark,7,24,11,42,neutral
Spain,10,28,21,59,neutral
Estonia,1,1,0,2,positive
Finland,2,13,14,29,negative
France,28,93,23,144,neutral
United Kin,601,1074,849,2524,neutral
Greece,0,1,0,1,neutral
Croatia,8,17,18,43,negative
Hungary,0,1,0,1,neutral
Ireland,25,89,45,159,neutral
Iceland,1,13,4,18,neutral
Italy,24,62,24,110,neutral
Liechtenst,0,1,0,1,neutral
Lithuania,0,4,0,4,neutral
Luxembourg,3,1,0,4,positive
Latvia,0,0,0,0,no_data
Malta,0,0,0,0,no_data
Netherland,8,35,16,59,neutral
Norway,15,29,17,61,neutral
Poland,1,17,0,18,neutral
Portugal,1,1,3,5,negative
Romania,0,0,0,0,no_data
Slovakia,3,8,1,12,neutral
Slovenia,8,14,13,35,neutral
Sweden,13,44,19,76,neutral
