HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,49,71,32,152,neutral
Belgium,58,81,48,187,neutral
Bulgaria,7,16,3,26,neutral
Switzerlan,43,105,38,186,neutral
Cyprus,0,0,1,1,negative
Czechia,28,45,13,86,neutral
Germany,99,204,101,404,neutral
Denmark,16,76,28,120,neutral
Spain,42,77,32,151,neutral
Estonia,0,3,2,5,neutral
Finland,14,33,23,70,neutral
France,56,286,28,370,neutral
United Kin,1107,1913,1182,4202,neutral
Greece,0,1,1,2,negative
Croatia,28,35,11,74,neutral
Hungary,3,9,3,15,neutral
Ireland,43,151,93,287,neutral
Iceland,11,23,9,43,neutral
Italy,70,157,42,269,neutral
Liechtenst,1,0,0,1,positive
Lithuania,2,12,5,19,neutral
Luxembourg,1,2,1,4,neutral
Latvia,0,3,0,3,neutral
Malta,0,0,0,0,no_data
Netherland,23,34,19,76,neutral
Norway,28,65,29,122,neutral
Poland,10,27,11,48,neutral
Portugal,64,165,194,423,negative
Romania,4,3,0,7,positive
Slovakia,6,7,3,16,neutral
Slovenia,22,81,45,148,neutral
Sweden,67,121,62,250,neutral
