HASC_1,positive,neutral,negative,total_comments,final_sentiment
US.AL,326,290,196,812,positive
US.AK,56,59,37,152,neutral
US.AZ,558,671,565,1794,neutral
US.AR,187,200,104,491,neutral
US.CA,3490,4249,5273,13012,negative
US.CO,867,771,823,2461,positive
US.CT,402,484,542,1428,negative
US.DE,111,86,88,285,positive
US.DC,60,115,126,301,negative
US.FL,1427,1531,1621,4579,negative
US.GA,924,944,953,2821,negative
US.HI,146,149,292,587,negative
US.ID,171,122,136,429,positive
US.IL,707,967,659,2333,neutral
US.IN,398,446,366,1210,neutral
US.IA,217,218,164,599,neutral
US.KS,203,193,149,545,positive
US.KY,237,310,133,680,neutral
US.LA,138,108,117,363,positive
US.ME,294,314,160,768,neutral
US.MD,688,775,771,2234,neutral
US.MA,694,757,773,2224,negative
US.MI,869,851,685,2405,positive
US.MN,719,632,511,1862,positive
US.MS,136,106,73,315,positive
US.MO,388,347,269,1004,positive
US.MT,183,148,59,390,positive
US.NE,155,127,91,373,positive
US.NV,297,322,358,977,negative
US.NH,172,163,111,446,positive
US.NJ,572,599,555,1726,neutral
US.NM,263,267,137,667,neutral
US.NY,1542,1538,1494,4574,positive
US.NC,1094,1024,782,2900,positive
US.ND,65,57,32,154,positive
US.OH,902,898,613,2413,positive
US.OK,332,215,308,855,positive
US.OR,705,636,553,1894,positive
US.PA,930,813,670,2413,positive
US.RI,98,121,120,339,neutral
US.SC,309,389,267,965,neutral
US.SD,101,90,49,240,positive
US.TN,511,476,369,1356,positive
US.TX,1369,1320,1327,4016,positive
US.UT,620,586,446,1652,positive
US.VT,211,218,170,599,neutral
US.VA,683,756,605,2044,neutral
US.WA,1161,1119,1013,3293,positive
US.WV,127,133,66,326,neutral
US.WI,617,522,299,1438,positive
US.WY,109,96,39,244,positive
