HASC_1,gini,total_charger,total_population
Austria,0.8740410898683111,7695,8996504.0
Belgium,0.826222855462554,6419,11585490.0
Bulgaria,0.9486658978027931,1713,6783452.0
Switzerlan,0.8357909242564493,4583,8572927.0
Cyprus,0.8959770339727355,171,836404.0
Czechia,0.9225666290775753,2228,10709715.0
Germany,0.8526836223886829,40028,83825736.0
Denmark,0.8123642292740771,5730,5710217.0
Spain,0.9228984072530828,4451,46110580.0
Estonia,0.8897016715316489,615,1314914.6
Finland,0.9467495092068423,2764,5491626.5
France,0.9580040267872962,10695,65017388.0
United Kin,0.8779417065696669,18789,67612560.0
Greece,0.8835215935738124,2929,10203716.0
Croatia,0.9529343210858799,1021,4008377.5
Hungary,0.8955886937485857,1998,9640367.0
Ireland,0.9294490356142547,1569,4741383.5
Iceland,0.8906801407121482,652,317639.88
Italy,0.8950197530728987,15149,60004000.0
Liechtenst,0.879803374462931,34,36170.48
Lithuania,0.9479524826315742,1171,2715303.2
Luxembourg,0.8079626427349661,508,640095.8
Latvia,0.9432457507665841,532,1876564.6
Malta,0.9872306065238674,15,416744.7
Netherland,0.6972152067986547,31287,17139272.0
Norway,0.9583956460774415,3011,5251796.5
Poland,0.9315383400929398,5334,37822860.0
Portugal,0.9017732151672259,2585,10116336.0
Romania,0.9590889989370971,3281,19365348.0
Slovakia,0.9300914790912174,1113,5474465.0
Slovenia,0.8866460740854147,1189,2076895.6
Sweden,0.901316845647965,4594,9990901.0
