HASC_1,gini_ratio
US.AL,1.005861298172109
US.AK,1.00170894948888
US.AZ,1.0214586717975007
US.AR,1.0083339693534745
US.CA,1.0689530096477082
US.CO,1.0292947961726395
US.CT,1.0471697389476229
US.DE,1.022702852530817
US.DC,1.0628842841186044
US.FL,1.0251662498967598
US.GA,1.0168656871262496
US.HI,1.073931780092531
US.ID,1.0076338057527179
US.IL,1.0201226080804533
US.IN,1.0106639571369296
US.IA,1.0083793648907156
US.KS,1.0137547642967233
US.KY,1.0111305752189563
US.LA,1.0073635688158302
US.ME,1.0168099633513275
US.MD,1.0489178244044801
US.MA,1.0596092492209817
US.MI,1.0177439280476628
US.MN,1.0202988505585164
US.MS,1.0031414652059334
US.MO,1.0186692158352806
US.MT,1.0064848127572124
US.NE,1.0119386913748323
US.NV,1.0199644243283905
US.NH,1.0098301918349852
US.NJ,1.031646112395177
US.NM,1.0119197212422024
US.NY,1.035264265720371
US.NC,1.0140323420186481
US.ND,1.0038354038585433
US.OH,1.0147295503643627
US.OK,1.0060015688955355
US.OR,1.0348544077578752
US.PA,1.0175517947113173
US.RI,1.0314103680349302
US.SC,1.007138810063202
US.SD,1.0065664622149388
US.TN,1.0085885667090517
US.TX,1.014503896140808
US.UT,1.0263183642798908
US.VT,1.0347398233053466
US.VA,1.022577289336206
US.WA,1.0365393479836529
US.WV,1.003919348649126
US.WI,1.00971644230943
US.WY,1.0082307965692698
